"Something went wrong while getting the image url.","Une erreur s'est produite lors de l’obtention de l’URL de l’image."
Reorder,Renouveler
"Print Order","Imprimer la commande"
"In stock","En stock"
"Out of stock","En rupture de stock"
"Add to Wish List","Ajouter à ma liste d’envie"
"Add to Wishlist","Ajouter à ma liste d’envie"
View,Voir
"Use Default Value","Utiliser la valeur par défaut"
