"Something went wrong while getting the image url.","Er ging iets mis bij het ophalen van de afbeelding url."
Reorder,"Opnieuw bestellen"
"Print Order","Bestelling printen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Toevoegen aan verlanglijst"
"Add to Wishlist","Toevoegen aan verlanglijst"
View,Bekijk
"Use Default Value","Standaardwaarde gebruiken"
