"Something went wrong while getting the image url.","Qualcosa non ha funzinato mentre reperivo l'url dell'immagine."
Reorder,Riordina
"Print Order","Stampa Ordine"
"In stock",Disponibile
"Out of stock","Non Disponibile"
"Add to Wish List","Aggiungi alla lista desideri"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
View,Mostra
"Use Default Value","Use Default Value"
