"Something went wrong while getting the image url.","Algo salió mal al obtener la url de la imagen."
Reorder,"Repetir pedido"
"Print Order","Imprimir pedido"
"In stock",Disponible
"Out of stock",Agotado
"Add to Wish List","Añadir a la Lista de Deseos"
View,Ver
"Use Default Value","Usar valor por defecto"
