"Something went wrong while getting the image url.","Ocorreu um erro ao obter o url da imagem."
"In stock","Em stock"
"Out of stock",Esgotado
"Add to Wish List","Adicionar à Lista de Desejos"
View,Visualizar
"Use Default Value","Usar o Valor Pré-definido"
